GraphID	GraphKind	VertexCount	VertexID	ProblemNode	ChimearNode	In_Degree	Out_Degree	In_Flow	In_Flow_Std	Out_Flow	Out_Flow_Std	Centrality
3	orig	60	4	0	0	1	1	453	0.0	613	0.0	0.0338983050847
3	orig	60	5	0	0	3	1	2104	521.9050573513241	2377	0.0	0.0677966101695
3	orig	60	6	0	0	1	1	1586	0.0	1669	0.0	0.0338983050847
3	orig	60	7	0	0	2	1	2141	481.5	2436	0.0	0.0508474576271
3	orig	60	8	0	0	1	1	368	0.0	386	0.0	0.0338983050847
3	orig	60	9	0	0	2	1	2092	679.0	2393	0.0	0.0508474576271
3	orig	60	10	0	0	1	1	2355	0.0	2521	0.0	0.0338983050847
3	orig	60	11	0	0	1	1	2262	0.0	2532	0.0	0.0338983050847
3	orig	60	12	0	0	1	1	2238	0.0	2421	0.0	0.0338983050847
3	orig	60	13	0	0	1	1	2266	0.0	2399	0.0	0.0338983050847
3	orig	60	14	0	0	1	1	1353	0.0	1419	0.0	0.0338983050847
3	orig	60	15	0	0	1	1	8	0.0	8	0.0	0.0338983050847
3	orig	60	16	0	0	2	1	1954	236.0	2390	0.0	0.0508474576271
3	orig	60	17	0	0	1	1	2111	0.0	2259	0.0	0.0338983050847
3	orig	60	18	0	0	1	1	2142	0.0	2478	0.0	0.0338983050847
3	orig	60	19	0	0	1	1	2401	0.0	2224	0.0	0.0338983050847
3	orig	60	20	0	0	1	1	2427	0.0	2288	0.0	0.0338983050847
3	orig	60	21	0	0	1	1	2227	0.0	2439	0.0	0.0338983050847
3	orig	60	22	0	0	1	1	2080	0.0	2107	0.0	0.0338983050847
3	orig	60	23	0	0	1	1	1455	0.0	1680	0.0	0.0338983050847
3	orig	60	24	0	0	1	1	1025	0.0	1098	0.0	0.0338983050847
3	orig	60	25	0	0	2	1	605	151.5	686	0.0	0.0508474576271
3	orig	60	26	0	0	1	1	23	0.0	23	0.0	0.0338983050847
3	orig	60	27	0	0	1	1	49	0.0	52	0.0	0.0338983050847
3	orig	60	28	0	0	1	1	6	0.0	6	0.0	0.0338983050847
3	orig	60	29	0	0	2	1	178	69.0	242	0.0	0.0508474576271
3	orig	60	30	0	0	5	1	1920	124.60337074092338	1984	0.0	0.101694915254
3	orig	60	31	0	0	1	1	1984	0.0	0	0.0	0.0338983050847
3	orig	60	32	0	0	1	1	242	0.0	238	0.0	0.0338983050847
3	orig	60	33	0	0	1	1	6	0.0	0	0.0	0.0338983050847
3	orig	60	34	0	0	1	1	52	0.0	0	0.0	0.0338983050847
3	orig	60	35	0	0	1	1	23	0.0	0	0.0	0.0338983050847
3	orig	60	36	0	0	1	5	686	0.0	528	107.17947564715924	0.101694915254
3	orig	60	37	0	0	1	2	1098	0.0	998	45.0	0.0508474576271
3	orig	60	38	0	0	1	3	1680	0.0	1501	377.73476879360146	0.0677966101695
3	orig	60	39	0	0	1	2	2107	0.0	1976	467.0	0.0508474576271
3	orig	60	40	0	0	1	1	2439	0.0	2080	0.0	0.0338983050847
3	orig	60	41	0	0	1	1	2288	0.0	2227	0.0	0.0338983050847
3	orig	60	42	0	0	1	2	2224	0.0	2447	1203.5	0.0508474576271
3	orig	60	43	0	0	1	1	2478	0.0	2401	0.0	0.0338983050847
3	orig	60	44	0	0	1	1	2259	0.0	2142	0.0	0.0338983050847
3	orig	60	45	0	0	1	1	2390	0.0	2111	0.0	0.0338983050847
3	orig	60	46	0	0	1	1	8	0.0	0	0.0	0.0338983050847
3	orig	60	47	0	0	1	2	1419	0.0	1221	602.5	0.0508474576271
3	orig	60	48	0	0	1	2	2399	0.0	2094	306.0	0.0508474576271
3	orig	60	49	0	0	1	1	2421	0.0	2266	0.0	0.0338983050847
3	orig	60	50	0	0	1	1	2532	0.0	2238	0.0	0.0338983050847
3	orig	60	51	0	0	1	1	2521	0.0	2262	0.0	0.0338983050847
3	orig	60	52	0	0	1	1	2393	0.0	2355	0.0	0.0338983050847
3	orig	60	53	0	0	1	1	386	0.0	367	0.0	0.0338983050847
3	orig	60	54	0	0	1	2	2436	0.0	2093	678.5	0.0508474576271
3	orig	60	55	0	0	1	1	1669	0.0	1552	0.0	0.0338983050847
3	orig	60	56	0	0	1	2	2377	0.0	2175	498.5	0.0508474576271
3	orig	60	57	0	0	1	1	613	0.0	570	0.0	0.0338983050847
